stamp_index,class,stamp_real,stamp_imag,stamp_frequency_hz,veragrid_index,veragrid_real,veragrid_imag,veragrid_frequency_hz,absolute_error,scaled_error,status
78,fast_electrical,-99103.8374106652,313.852971296014,49.95125178583937,46,-99103.83723869812,313.8508152406624,49.950908638972585,0.0021629025306058847,2.182449984759565e-08,matched
79,fast_electrical,-99103.8374106652,-313.852971296014,49.95125178583937,47,-99103.83723869812,-313.8508152406624,49.950908638972585,0.0021629025306058847,2.182449984759565e-08,matched
80,fast_electrical,-99999.999999997,0.0,0.0,48,-99999.99999999788,0.0,0.0,8.731149137020111e-10,8.731149137020372e-15,matched
81,fast_electrical,-99999.9999999999,0.0,0.0,50,-99999.99999999988,0.0,0.0,1.4551915228366852e-11,1.4551915228366868e-16,matched
82,fast_electrical,-100000.0,0.0,0.0,54,-99999.99999999988,0.0,0.0,1.1641532182693481e-10,1.1641532182693482e-15,matched
83,fast_electrical,-100000.0,0.0,0.0,51,-99999.99999999988,0.0,0.0,1.1641532182693481e-10,1.1641532182693482e-15,matched
84,fast_electrical,-100000.0,0.0,0.0,52,-99999.99999999988,0.0,0.0,1.1641532182693481e-10,1.1641532182693482e-15,matched
85,fast_electrical,-100000.0,0.0,0.0,55,-99999.99999999996,0.0,0.0,4.3655745685100555e-11,4.3655745685100557e-16,matched
86,fast_electrical,-100000.000056766,0.0,0.0,56,-100000.00005677967,0.0,0.0,1.3664248399436474e-08,1.3664248391679827e-13,matched
87,fast_electrical,-1319463.32438621,314.142390956558,49.99731435544293,58,-1322777.5764147937,0.0,0.0,3329.10677971849,0.0025230763325036205,matched
88,fast_electrical,-1319463.32438621,-314.142390956558,49.99731435544293,57,-1316398.5119283367,0.0,0.0,3080.870143925413,0.002334941790095583,matched
